species_name,slope,intercept,p_value,decade_change_lwr,decade_change_upr,se,sd_residuals,aic,bic,sig,decade_change,biogeog,taxon,class,max_depth,max_length,endemism,IUCN,IUCN_category,date_assessed,slope_category,provisional_status
Arthrocardia wardii,0.018189561,-37.5432283,2.96E-08,31.35484869,75.93211086,0.003237279,0.704906601,1190.786651,1208.387681,***,52.01820878,temperate (cool),Macroalgae,Red algae,21,12,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Callophyllis rangiferina,0.006262811,-13.23073616,0.003368559,4.914279876,27.18081663,0.002132361,2.256693964,4510.71092,4531.744568,**,15.51226684,temperate (cool),Macroalgae,Red algae,24,25,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Camontagnea oxyclada,-0.018437371,36.19001823,5.46E-08,-43.7823341,-23.90085466,0.003354831,1.708544766,2467.410514,2485.80455,***,-34.59268903,temperate (cool),Macroalgae,Red algae,5,20,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
Craspedocarpus ramentaceus,0.00145167,-3.970007711,0.639071256,-10.0738326,18.89054399,0.003093456,1.534079785,1405.891675,1422.983183,,3.399085881,temperate (cool),Macroalgae,Red algae,38,20,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Cystophora platylobium,-0.004618762,8.756912347,0.372356231,-28.80749574,13.55087578,0.005172448,2.215721072,1522.061246,1538.714505,,-10.08909294,temperate (cool),Macroalgae,Brown algae,132,400,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Dictyopteris muelleri,0.012487282,-25.96657495,1.12E-10,22.24837222,45.3792953,0.00191992,1.70242802,3658.750577,3679.464759,***,33.3130984,temperate (cool),Macroalgae,Brown algae,50,40,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Durvillaea potatorum,-0.01536288,31.00211275,7.44E-04,-42.7139169,-13.96141245,0.004506311,4.233988772,938.4928799,953.4904518,***,-29.79448971,temperate (cool),Macroalgae,Brown algae,30,800,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Erythrymenia minuta,0.018450897,-38.12537777,3.31E-13,36.9345785,70.80666735,0.002448813,0.534865534,584.1392818,600.1745346,***,52.93573487,temperate (cool),Macroalgae,Red algae,20,14,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Euptilota articulata,-0.00992565,19.125869,4.68E-07,-27.16287606,-13.07710103,0.001958746,1.238559631,3045.214272,3065.663582,***,-20.43107412,temperate (cool),Macroalgae,Red algae,15,35,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Gigartina muelleriana,-0.028622232,56.76125491,1.70E-06,-60.2944697,-32.59309966,0.005863714,1.351250942,818.4356434,833.5089274,***,-48.26580701,temperate (cool),Macroalgae,Red algae,2,15,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
