"site_code","survey_year","species_name","cover","latitude","longitude","sqrt_cover","transect_id","n_sites_byspp","n_obs_byspp","n_site_species"
"BI-S4",2021,"Ballia callitricha",5.38461538461539,-42,148,2.32047740446129,"BI-S4_2021",6,655,6
"BI-S4",2021,"Haliptilon roseum",10.4166666666667,-42,148,3.22748612183951,"BI-S4_2021",6,942,6
"BI-S4",2021,"Phacelocarpus peperocarpos",6.5,-42,148,2.54950975679639,"BI-S4_2021",6,739,6
"BI-S4",2021,"Phyllospora comosa",71.8857142857143,-42,148,8.4785443494573,"BI-S4_2021",6,659,6
"BI-S4",2021,"Ecklonia radiata",41.4,-42,148,6.43428317685817,"BI-S4_2021",6,1137,6
"BI-S4",2021,"Plocamium angustum",2,-42,148,1.4142135623731,"BI-S4_2021",6,789,6
"BI-S4",2021,"Halopteris paniculata",6,-42,148,2.44948974278318,"BI-S4_2021",6,618,6
"BI-S4",2021,"Xiphophora gladiata",6,-42,148,2.44948974278318,"BI-S4_2021",6,272,6
"BI-S4",2021,"Durvillaea potatorum",8,-42,148,2.82842712474619,"BI-S4_2021",6,125,6
"BI-S4",2021,"Lessonia corrugata",30,-42,148,5.47722557505166,"BI-S4_2021",6,213,6
"BI-S1",2021,"Cheilosporum sagittatum",6,-42,148,2.44948974278318,"BI-S1_2021",6,197,6
"BI-S1",2021,"Phacelocarpus peperocarpos",20,-42,148,4.47213595499958,"BI-S1_2021",6,739,6
"BI-S1",2021,"Phyllospora comosa",63.2413793103448,-42,148,7.95244486370983,"BI-S1_2021",6,659,6
"BI-S1",2021,"Ballia callitricha",9,-42,148,3,"BI-S1_2021",6,655,6
"BI-S1",2021,"Ecklonia radiata",29.375,-42,148,5.4198708471697,"BI-S1_2021",6,1137,6
"BI-S1",2021,"Halopteris paniculata",4,-42,148,2,"BI-S1_2021",6,618,6
"BI-S1",2021,"Durvillaea potatorum",22,-42,148,4.69041575982343,"BI-S1_2021",6,125,6
"BI-S1",2021,"Haliptilon roseum",5.33333333333333,-42,148,2.3094010767585,"BI-S1_2021",6,942,6
"BI-S1",2021,"Plocamium angustum",5,-42,148,2.23606797749979,"BI-S1_2021",6,789,6
"BI-S1",2021,"Lenormandia marginata",0,-42,148,0,"BI-S1_2021",6,454,6
"BI-S2",2021,"Ecklonia radiata",43.6153846153846,-42,148,6.60419447134808,"BI-S2_2021",6,1137,6
"BI-S2",2021,"Phyllospora comosa",52.08,-42,148,7.21664742106749,"BI-S2_2021",6,659,6
"BI-S2",2021,"Haliptilon roseum",17.4285714285714,-42,148,4.17475405605784,"BI-S2_2021",6,942,6
"BI-S2",2021,"Ballia callitricha",2,-42,148,1.4142135623731,"BI-S2_2021",6,655,6
"BI-S2",2021,"Halopteris paniculata",8.5,-42,148,2.91547594742265,"BI-S2_2021",6,618,6
"BI-S3",2021,"Ecklonia radiata",30.8571428571429,-42,148,5.55492059863531,"BI-S3_2021",6,1137,6
"BI-S3",2021,"Phyllospora comosa",39.7647058823529,-42,148,6.30592625094466,"BI-S3_2021",6,659,6
"BI-S3",2021,"Ballia callitricha",5,-42,148,2.23606797749979,"BI-S3_2021",6,655,6
"BI-S3",2021,"Haliptilon roseum",6,-42,148,2.44948974278318,"BI-S3_2021",6,942,6
"BI-S3",2021,"Plocamium angustum",2,-42,148,1.4142135623731,"BI-S3_2021",6,789,6
"BI-S3",2021,"Halopteris paniculata",0,-42,148,0,"BI-S3_2021",6,618,6
"BI-S3",2021,"Carpomitra costata",0,-42,148,0,"BI-S3_2021",6,434,6
"BI-S3",2021,"Lenormandia marginata",0,-42,148,0,"BI-S3_2021",6,454,6
"BI-S5",2021,"Ballia callitricha",5,-42,148,2.23606797749979,"BI-S5_2021",6,655,6
"BI-S5",2021,"Ecklonia radiata",28.2352941176471,-42,148,5.31368931324057,"BI-S5_2021",6,1137,6
"BI-S5",2021,"Phyllospora comosa",54.5263157894737,-42,148,7.38419364517709,"BI-S5_2021",6,659,6
"BI-S5",2021,"Plocamium angustum",6.75,-42,148,2.59807621135332,"BI-S5_2021",6,789,6
"BI-S5",2021,"Haliptilon roseum",12,-42,148,3.46410161513775,"BI-S5_2021",6,942,6
"BI-S5",2021,"Plocamium dilatatum",0,-42,148,0,"BI-S5_2021",6,564,6
"MIR-S10",2021,"Ballia callitricha",3,-43,148,1.73205080756888,"MIR-S10_2021",14,655,14
"MIR-S10",2021,"Ecklonia radiata",50.1666666666667,-43,148,7.08284312029193,"MIR-S10_2021",14,1137,14
"MIR-S10",2021,"Phyllospora comosa",38.5333333333333,-43,148,6.20752231839188,"MIR-S10_2021",14,659,14
"MIR-S10",2021,"Plocamium angustum",6.75,-43,148,2.59807621135332,"MIR-S10_2021",14,789,14
"MIR-S10",2021,"Thamnoclonium dichotomum",6.4,-43,148,2.5298221281347,"MIR-S10_2021",14,332,14
"MIR-S10",2021,"Halopteris paniculata",3,-43,148,1.73205080756888,"MIR-S10_2021",14,618,14
"MIR-S10",2021,"Haliptilon roseum",3.66666666666667,-43,148,1.91485421551268,"MIR-S10_2021",14,942,14
"MIR-S10",2021,"Lobophora variegata",4.66666666666667,-43,148,2.16024689946929,"MIR-S10_2021",14,739,14
"MIR-S10",2021,"Sargassum vestitum",6,-43,148,2.44948974278318,"MIR-S10_2021",14,434,14
"MIR-S10",2021,"Acrocarpia paniculata",14,-43,148,3.74165738677394,"MIR-S10_2021",14,662,14
"MIR-S10",2021,"Delisea pulchra",11,-43,148,3.3166247903554,"MIR-S10_2021",14,525,14
"MIR-S10",2021,"Cystophora retroflexa",8,-43,148,2.82842712474619,"MIR-S10_2021",14,374,14
"MIR-S10",2021,"Phacelocarpus peperocarpos",2,-43,148,1.4142135623731,"MIR-S10_2021",14,739,14
"MIR-S10",2021,"Phyllotricha verruculosa",2,-43,148,1.4142135623731,"MIR-S10_2021",14,473,14
"MIR-S10",2021,"Sargassum fallax",0,-43,148,0,"MIR-S10_2021",14,692,14
"MIR-S10",2021,"Carpomitra costata",0,-43,148,0,"MIR-S10_2021",14,434,14
"MIR-S10",2021,"Plocamium dilatatum",0,-43,148,0,"MIR-S10_2021",14,564,14
"MIR-S10",2021,"Caulerpa brownii",0,-43,148,0,"MIR-S10_2021",14,507,14
"MIR-S10",2021,"Caulerpa flexilis",0,-43,148,0,"MIR-S10_2021",14,469,14
"MIR-S10",2021,"Carpoglossum confluens",0,-43,148,0,"MIR-S10_2021",14,533,14
"MIR-S10",2021,"Lenormandia marginata",0,-43,148,0,"MIR-S10_2021",14,454,14
"MIR-S10",2021,"Caulerpa geminata",0,-43,148,0,"MIR-S10_2021",14,468,14
"MIR-S10",2021,"Caulerpa trifaria",0,-43,148,0,"MIR-S10_2021",14,308,14
"MIR-S10",2021,"Cheilosporum sagittatum",0,-43,148,0,"MIR-S10_2021",14,197,14
"MIR-S9",2021,"Phyllospora comosa",85.2,-43,148,9.23038460737146,"MIR-S9_2021",14,659,14
"MIR-S9",2021,"Ecklonia radiata",13.6,-43,148,3.68781778291716,"MIR-S9_2021",14,1137,14
"MIR-S9",2021,"Plocamium angustum",2,-43,148,1.4142135623731,"MIR-S9_2021",14,789,14
"MIR-S9",2021,"Sargassum vestitum",6,-43,148,2.44948974278318,"MIR-S9_2021",14,434,14
