species_name,slope,intercept,p_value,decade_change_lwr,decade_change_upr,se,sd_residuals,aic,bic,sig,decade_change,thirtyyear_change,fourteenyear_change,biogeog,taxon,class,max_depth,max_length,endemism,IUCN,IUCN_category,date_assessed,slope_category,new
Arthrocardia wardii,0.008126026573752596,-17.131317568000807,1.697082199657394e-6,11.778659148169304,30.065356540273797,0.0016786721749899852,0.26513812906556905,308.32399162303886,325.78987341396464,***,20.57583155715825,78.61043319149866,NA,temperate (cool),Macroalgae,Red algae,21,12,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Callophyllis rangiferina,2.395174933658775e-4,-1.0318424778769617,0.8835233777424047,-6.59750182276948,8.250985223633228,0.00163455466542014,0.4401346022431578,1920.777402033981,1941.60291119987,,0.5530330225489527,1.724377831675397,NA,temperate (cool),Macroalgae,Red algae,24,25,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Camontagnea oxyclada,-0.001975422222430147,3.434644144182913,0.12950220560428674,-9.897067376235649,1.3334033927204632,0.0013013938814724014,0.2749454050112187,424.7787974428961,443.10689799846745,,-4.446680756600578,-13.15158215921086,NA,temperate (cool),Macroalgae,Red algae,5,20,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Cheilosporum sagittatum,0.009056187290857314,-19.061335409516335,4.611079228909697e-11,15.970852810574735,30.850351914631396,0.0013374236611561085,0.23594417981096244,81.13951341176593,97.31004474649546,***,23.18614736285716,90.87181622454523,NA,temperate (cool),Macroalgae,Red algae,5,10,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Craspedocarpus ramentaceus,-0.0033617465808970185,5.905594233108765,0.03670728640714273,-13.915317542386518,-0.4963099715333816,0.0016049607352374507,0.31709944186974204,378.21924136167155,395.2499117132021,*,-7.448697689003941,-21.334219495827856,NA,temperate (cool),Macroalgae,Red algae,38,20,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Cystophora platylobium,-0.006507351446678392,12.753845818329003,0.02721904123113186,-24.599936516043957,-1.7163538792600967,0.00293652202071087,0.3901287609512762,607.7996265541796,624.3505347705245,*,-13.915197874778787,-37.15480108926176,NA,temperate (cool),Macroalgae,Brown algae,132,400,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Dictyopteris muelleri,0.007652259243651397,-16.084396366144013,2.6710381950698384e-6,10.848196402510741,28.326560371724952,0.0016221706894552431,0.43088823790742287,1717.154595717195,1737.7322244384795,***,19.26763084652751,72.67125142874325,NA,temperate (cool),Macroalgae,Brown algae,50,40,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Durvillaea potatorum,-0.014781284890671773,29.857461502411276,2.5930574665427604e-4,-40.58129604314195,-14.797737482485784,0.003993133393686502,0.47584669995717765,511.9499232138279,526.7382971598495,***,-28.84799361238854,-65.18389620731624,NA,temperate (cool),Macroalgae,Brown algae,30,800,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Erythrymenia minuta,0.009631503506319363,-20.36715019496965,7.88392239080387e-6,13.417393331972297,37.38850837739199,0.002124292777927781,0.30059790778309964,267.9649273342306,283.79862610634973,***,24.828868832220973,98.87335881669507,NA,temperate (cool),Macroalgae,Red algae,20,14,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Euptilota articulata,-0.003968099548673272,7.261588042428203,0.009439127825225189,-14.805692170168749,-2.2250887919415105,0.0015259681276223436,0.3848319621834634,1353.373451429069,1373.5808739208926,**,-8.731901063439732,-24.6663666535643,NA,temperate (cool),Macroalgae,Red algae,15,35,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
