species_name,slope,intercept,p_value,decade_change_lwr,decade_change_upr,se,sd_residuals,aic,bic,sig,decade_change,thirtyyear_change,fourteenyear_change,biogeog,taxon,class,max_depth,max_length,endemism,IUCN,IUCN_category,date_assessed,slope_category,new
Ballia callitricha,9.579288655581507e-5,-0.4331871803062611,0.9486225314779926,-6.281296213121712,7.174035654328964,0.0014863362698635254,0.4099365699663927,1834.2467663957898,1855.235088734133,,0.2208147099811768,0.6861139959037891,NA,temperate (cool),Macroalgae,Red algae,50,36,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Carpomitra costata,0.004529874003480062,-9.815274418516326,0.0029824447401989107,3.626609448724743,18.884761628282988,0.001521836703725123,0.39426857879779686,1287.7596651015942,1307.7682889192088,**,10.99380506433126,38.17392489614317,NA,temperate (cool),Macroalgae,Brown algae,38,35,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Codium lucasii,0.005800221389494753,-12.503230351938551,4.757008697017731e-4,6.121877475070373,23.08340524722924,0.0016427490182724651,0.20473649051487397,14.950545070632728,30.370832759442436,***,14.2884160834371,51.28882958943443,NA,temperate (cool),Macroalgae,Green algae,5,15,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Colpomenia sinuosa,0.008657760002688083,-18.28208572138485,1.043860464462897e-9,14.596916376512917,30.011649526770075,0.0013982230611670706,0.3039218723699445,477.6450673865834,495.87785859783247,***,22.061190100669254,85.51992501079262,NA,temperate (warm),Macroalgae,Brown algae,5,15,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Cystophora xiphocarpa,-0.01051539255152752,20.718108188014515,2.7982077954818985e-4,-30.932910304587047,-10.788468991972437,0.0028355071089493705,0.28767588137306926,140.10527403597405,153.11436774816056,***,-21.50426244695477,-52.79121416846559,NA,temperate (cool),Macroalgae,Brown algae,100,30,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Delisea pulchra,0.013392271426436614,-27.546840048326807,2.485033677700789e-26,28.778732354595675,43.88028280216506,0.0012285209674865675,0.3084724621117344,843.0881369389444,863.316284865736,***,36.120242543434905,160.11201547129536,NA,temperate (cool),Macroalgae,Red algae,25,60,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Dictyota dichotoma,0.005486002036689212,-11.772777965231414,1.058917561719773e-5,7.287442266214357,19.997210088646437,0.0012403864932845,0.3234984372703519,1120.1613962195424,1140.9720410056354,***,13.464504359260221,47.93334013264393,NA,temperate (cool),Macroalgae,Brown algae,21,30,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Ecklonia radiata,-0.0014118428924032418,3.95943425611936,0.12627188938334458,-7.147970638623163,0.9187219922588483,9.229848689956513e-4,0.2925031454727404,1490.9840618245507,1513.4825377691884,,-3.1986150019646504,-9.586585609997131,NA,temperate (cool),Macroalgae,Brown algae,44,200,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Haliptilon roseum,0.028049877962414912,-56.69886931161425,1.6521719870673416e-84,79.38890728746341,102.86259413648784,0.0013624329517581493,0.42121259289313734,2562.7446800359585,2584.911412435487,***,90.76503634482954,640.5360697696906,NA,temperate (cool),Macroalgae,Red algae,10,12,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Halopteris paniculata,0.02294924771225944,-46.73718730869602,7.337221397896961e-53,59.14343701299397,80.79908197914524,0.0014134822924387381,0.3744953760778115,1159.670638304643,1179.59466126753,***,69.62602192752063,414.54892958992787,NA,temperate (cool),Macroalgae,Brown algae,13,30,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Laurencia elata,0.0023580376824837257,-5.490284924241328,0.035833718085364945,0.3674338112632009,11.062624854196086,0.0011218347236323074,0.26462094261498015,406.12299171607987,425.63217600206957,*,5.579688619348736,18.331172596966894,NA,temperate (cool),Macroalgae,Red algae,40,25,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
