"site_code","survey_year","species_name","percent_cover","sqrt_pcover","latitude","longitude","n_sites_byspp","n_obs_byspp","transect_id","n_site_species"
"LHI7",2016,"Acanthastrea hillae",4,2,-32,159,6,88,"LHI7_2016",6
"LHI7",2016,"Astrea curta",0,0,NA,NA,6,207,"LHI7_2016",6
"LHI7",2016,"Porites heronensis",1,1,-32,159,6,134,"LHI7_2016",6
"LHI41",2016,"Isopora cuneata",5,2.23606797749979,-32,159,6,139,"LHI41_2016",6
"LHI41",2016,"Pocillopora damicornis",2.33333333333333,1.52752523165195,-32,159,6,459,"LHI41_2016",6
"LHI41",2016,"Porites heronensis",0,0,NA,NA,6,134,"LHI41_2016",6
"LHI41",2016,"Stylophora pistillata",0,0,NA,NA,6,576,"LHI41_2016",6
"LHI38",2016,"Pocillopora damicornis",1,1,-32,159,7,459,"LHI38_2016",7
"LHI38",2016,"Stylophora pistillata",2,1.4142135623731,-32,159,7,576,"LHI38_2016",7
"LHI49",2016,"Isopora cuneata",6.75,2.59807621135332,-32,159,6,139,"LHI49_2016",6
"LHI49",2016,"Pocillopora damicornis",2.93333333333333,1.71269767715535,-32,159,6,459,"LHI49_2016",6
"LHI49",2016,"Stylophora pistillata",2.25,1.5,-32,159,6,576,"LHI49_2016",6
"LHI49",2016,"Porites heronensis",7.5,2.73861278752583,-32,159,6,134,"LHI49_2016",6
"LHI49",2016,"Acropora glauca",3,1.73205080756888,-32,159,6,98,"LHI49_2016",6
"LHI49",2016,"Seriatopora caliendrum",0,0,NA,NA,6,212,"LHI49_2016",6
"LHI3",2018,"Isopora cuneata",5.16666666666667,2.27303028283098,-32,159,7,139,"LHI3_2018",7
"LHI3",2018,"Porites heronensis",1,1,-32,159,7,134,"LHI3_2018",7
"LHI3",2018,"Stylophora pistillata",1.5,1.22474487139159,-32,159,7,576,"LHI3_2018",7
"LHI3",2018,"Pocillopora damicornis",5,2.23606797749979,-32,159,7,459,"LHI3_2018",7
"LHI41",2018,"Isopora cuneata",4,2,-32,159,6,139,"LHI41_2018",6
"LHI41",2018,"Pocillopora damicornis",1.76666666666667,1.32916013582513,-32,159,6,459,"LHI41_2018",6
