"survey_year","site_code","species_name","final_percent_cover","latitude","longitude","sqrt_pcover","minN","site_yr"
2012,"CS1","Astreopora myriophthalma",1,-19.29696,152.23517,1,1,"CS1_2012"
2012,"CS1","Favia matthaii",0,-19.29696,152.23517,0,1,"CS1_2012"
2012,"CS1","Favia pallida",0,-19.29696,152.23517,0,1,"CS1_2012"
2012,"CS1","Favia stelligera",0,-19.29696,152.23517,0,1,"CS1_2012"
2012,"CS1","Goniastrea pectinata",0,-19.29696,152.23517,0,1,"CS1_2012"
2012,"CS1","Hydnophora exesa",0,-19.29696,152.23517,0,1,"CS1_2012"
2012,"CS1","Leptastrea inaequalis",0,-19.29696,152.23517,0,1,"CS1_2012"
2012,"CS1","Millepora exaesa",0,-19.29696,152.23517,0,1,"CS1_2012"
2012,"CS1","Montipora danae",0,-19.29696,152.23517,0,1,"CS1_2012"
2012,"CS1","Montipora foveolata",0,-19.29696,152.23517,0,1,"CS1_2012"
2012,"CS1","Montipora grisea",0,-19.29696,152.23517,0,2,"CS1_2012"
2012,"CS1","Pocillopora verrucosa",0,-19.29696,152.23517,0,2,"CS1_2012"
2016,"CS1","Astreopora myriophthalma",0,-19.29696,152.23517,0,1,"CS1_2016"
2016,"CS1","Favia matthaii",0,-19.29696,152.23517,0,1,"CS1_2016"
2016,"CS1","Favia pallida",0,-19.29696,152.23517,0,1,"CS1_2016"
2016,"CS1","Favia stelligera",0,-19.29696,152.23517,0,1,"CS1_2016"
2016,"CS1","Goniastrea pectinata",0,-19.29696,152.23517,0,1,"CS1_2016"
2016,"CS1","Hydnophora exesa",0,-19.29696,152.23517,0,1,"CS1_2016"
2016,"CS1","Leptastrea inaequalis",0,-19.29696,152.23517,0,1,"CS1_2016"
2016,"CS1","Millepora exaesa",1,-19.29696,152.23517,1,1,"CS1_2016"
2016,"CS1","Montipora danae",0,-19.29696,152.23517,0,1,"CS1_2016"
2016,"CS1","Montipora foveolata",0,-19.29696,152.23517,0,1,"CS1_2016"
2016,"CS1","Montipora grisea",0,-19.29696,152.23517,0,2,"CS1_2016"
2016,"CS1","Pocillopora verrucosa",0,-19.29696,152.23517,0,2,"CS1_2016"
2017,"CS1","Astreopora myriophthalma",0,-19.29696,152.23517,0,1,"CS1_2017"
2017,"CS1","Favia matthaii",0,-19.29696,152.23517,0,1,"CS1_2017"
2017,"CS1","Favia pallida",0,-19.29696,152.23517,0,1,"CS1_2017"
2017,"CS1","Favia stelligera",0,-19.29696,152.23517,0,1,"CS1_2017"
2017,"CS1","Goniastrea pectinata",0,-19.29696,152.23517,0,1,"CS1_2017"
2017,"CS1","Hydnophora exesa",2,-19.29696,152.23517,1.4142135623731,1,"CS1_2017"
2017,"CS1","Leptastrea inaequalis",1,-19.29696,152.23517,1,1,"CS1_2017"
2017,"CS1","Millepora exaesa",0,-19.29696,152.23517,0,1,"CS1_2017"
2017,"CS1","Montipora danae",0,-19.29696,152.23517,0,1,"CS1_2017"
2017,"CS1","Montipora foveolata",1,-19.29696,152.23517,1,1,"CS1_2017"
2017,"CS1","Montipora grisea",0,-19.29696,152.23517,0,2,"CS1_2017"
2017,"CS1","Pocillopora verrucosa",0,-19.29696,152.23517,0,2,"CS1_2017"
2018,"CS1","Astreopora myriophthalma",1,-19.29696,152.23517,1,1,"CS1_2018"
2018,"CS1","Favia matthaii",1,-19.29696,152.23517,1,1,"CS1_2018"
2018,"CS1","Favia pallida",0,-19.29696,152.23517,0,1,"CS1_2018"
2018,"CS1","Favia stelligera",1,-19.29696,152.23517,1,1,"CS1_2018"
2018,"CS1","Goniastrea pectinata",1,-19.29696,152.23517,1,1,"CS1_2018"
2018,"CS1","Hydnophora exesa",1,-19.29696,152.23517,1,1,"CS1_2018"
2018,"CS1","Leptastrea inaequalis",0,-19.29696,152.23517,0,1,"CS1_2018"
2018,"CS1","Millepora exaesa",0,-19.29696,152.23517,0,1,"CS1_2018"
2018,"CS1","Montipora danae",2,-19.29696,152.23517,1.4142135623731,1,"CS1_2018"
2018,"CS1","Montipora foveolata",0,-19.29696,152.23517,0,1,"CS1_2018"
2018,"CS1","Montipora grisea",2,-19.29696,152.23517,1.4142135623731,2,"CS1_2018"
2018,"CS1","Pocillopora verrucosa",2,-19.29696,152.23517,1.4142135623731,2,"CS1_2018"
2019,"CS1","Astreopora myriophthalma",0,-19.29696,152.23517,0,1,"CS1_2019"
2019,"CS1","Favia matthaii",0,-19.29696,152.23517,0,1,"CS1_2019"
2019,"CS1","Favia pallida",1,-19.29696,152.23517,1,1,"CS1_2019"
2019,"CS1","Favia stelligera",0,-19.29696,152.23517,0,1,"CS1_2019"
2019,"CS1","Goniastrea pectinata",0,-19.29696,152.23517,0,1,"CS1_2019"
2019,"CS1","Hydnophora exesa",0,-19.29696,152.23517,0,1,"CS1_2019"
2019,"CS1","Leptastrea inaequalis",0,-19.29696,152.23517,0,1,"CS1_2019"
2019,"CS1","Millepora exaesa",0,-19.29696,152.23517,0,1,"CS1_2019"
2019,"CS1","Montipora danae",1,-19.29696,152.23517,1,1,"CS1_2019"
2019,"CS1","Montipora foveolata",0,-19.29696,152.23517,0,1,"CS1_2019"
2019,"CS1","Montipora grisea",0,-19.29696,152.23517,0,2,"CS1_2019"
2019,"CS1","Pocillopora verrucosa",0,-19.29696,152.23517,0,2,"CS1_2019"
2012,"CS10","Favia stelligera",1,-16.94777,149.18262,1,1,"CS10_2012"
2012,"CS10","Pocillopora verrucosa",4,-16.94777,149.18262,2,2,"CS10_2012"
2012,"CS10","Stylophora pistillata",1,-16.94777,149.18262,1,1,"CS10_2012"
2017,"CS10","Favia stelligera",0,-16.94777,149.18262,0,1,"CS10_2017"
2017,"CS10","Pocillopora verrucosa",2,-16.94777,149.18262,1.4142135623731,2,"CS10_2017"
2017,"CS10","Stylophora pistillata",0,-16.94777,149.18262,0,1,"CS10_2017"
2013,"CS100","Acropora cerealis",0,-17.35843,151.52992,0,1,"CS100_2013"
2013,"CS100","Acropora gemmifera",0,-17.35843,151.52992,0,1,"CS100_2013"
2013,"CS100","Acropora hyacinthus",0,-17.35843,151.52992,0,1,"CS100_2013"
2013,"CS100","Acropora selago",0,-17.35843,151.52992,0,1,"CS100_2013"
2013,"CS100","Coscinaraea columna",1,-17.35843,151.52992,1,1,"CS100_2013"
2013,"CS100","Galaxea astreata",1,-17.35843,151.52992,1,1,"CS100_2013"
2013,"CS100","Millepora dichotoma",1,-17.35843,151.52992,1,1,"CS100_2013"
2013,"CS100","Millepora exaesa",1,-17.35843,151.52992,1,1,"CS100_2013"
2013,"CS100","Montipora Solid plates",1,-17.35843,151.52992,1,1,"CS100_2013"
2013,"CS100","Montipora caliculata",1,-17.35843,151.52992,1,1,"CS100_2013"
2013,"CS100","Pocillopora damicornis",2,-17.35843,151.52992,1.4142135623731,2,"CS100_2013"
2013,"CS100","Pocillopora eydouxi",0,-17.35843,151.52992,0,1,"CS100_2013"
2013,"CS100","Pocillopora verrucosa",1,-17.35843,151.52992,1,1,"CS100_2013"
2013,"CS100","Porites lichen",0,-17.35843,151.52992,0,1,"CS100_2013"
2013,"CS100","Stylophora pistillata",1,-17.35843,151.52992,1,1,"CS100_2013"
2013,"CS100","Stylophora pistillata",1,-17.35843,151.52992,1,1,"CS100_2013"
2018,"CS100","Acropora cerealis",1,-17.35843,151.52992,1,1,"CS100_2018"
2018,"CS100","Acropora gemmifera",1,-17.35843,151.52992,1,1,"CS100_2018"
2018,"CS100","Acropora hyacinthus",1,-17.35843,151.52992,1,1,"CS100_2018"
2018,"CS100","Acropora selago",1,-17.35843,151.52992,1,1,"CS100_2018"
2018,"CS100","Coscinaraea columna",0,-17.35843,151.52992,0,1,"CS100_2018"
2018,"CS100","Galaxea astreata",0,-17.35843,151.52992,0,1,"CS100_2018"
2018,"CS100","Millepora dichotoma",0,-17.35843,151.52992,0,1,"CS100_2018"
2018,"CS100","Millepora exaesa",0,-17.35843,151.52992,0,1,"CS100_2018"
2018,"CS100","Montipora Solid plates",0,-17.35843,151.52992,0,1,"CS100_2018"
2018,"CS100","Montipora caliculata",0,-17.35843,151.52992,0,1,"CS100_2018"
2018,"CS100","Pocillopora damicornis",0,-17.35843,151.52992,0,2,"CS100_2018"
2018,"CS100","Pocillopora eydouxi",1,-17.35843,151.52992,1,1,"CS100_2018"
2018,"CS100","Pocillopora verrucosa",0,-17.35843,151.52992,0,1,"CS100_2018"
2018,"CS100","Porites lichen",1,-17.35843,151.52992,1,1,"CS100_2018"
