SPECIES_NAME,Class,Taxon,Diet,Diet2,IUCN,IUCN category,endemism
Acropora abrotanoides,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Acropora austera,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Acropora cerealis,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Acropora cytherea,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Acropora digitifera,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Acropora florida,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Acropora gemmifera,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Acropora humilis,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Acropora hyacinthus,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Acropora intermedia,Anthozoa,Coral,primary producer,,,,non-endemic
Acropora longicyathus,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Acropora loripes,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Acropora millepora,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Acropora muricata,Anthozoa,Coral,primary producer,,,,non-endemic
Acropora nasuta,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Acropora tenuis,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Acropora valida,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Astrea curta,Anthozoa,Coral,primary producer,,,,non-endemic
Astreopora myriophthalma,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Coscinaraea columna,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Diploastrea heliopora,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Echinopora lamellosa,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Favia favus,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Favia pallida,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Favia stelligera,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Favites abdita,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Galaxea fascicularis,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Goniastrea australensis,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Goniastrea edwardsi,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Goniastrea pectinata,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Goniastrea retiformis,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Isopora brueggemanni,Anthozoa,Coral,primary producer,,Vulnerable,A4ce,non-endemic
Isopora cuneata,Anthozoa,Coral,primary producer,,Vulnerable,A4ce,non-endemic
Isopora palifera,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Leptoria phrygia,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Lobophyllia hemprichii,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Merulina ampliata,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Millepora dichotoma,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Millepora exaesa,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Montipora crassituberculata,Anthozoa,Coral,primary producer,,Vulnerable,A4c,non-endemic
Montipora grisea,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Montipora tuberculosa,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Pavona varians,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Platygyra daedalea,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Pocillopora damicornis,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Pocillopora meandrina,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Pocillopora verrucosa,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Porites cylindrica,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Porites heronensis,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Porites lichen,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Porites rus,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Porites vaughani,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Seriatopora caliendrum,Anthozoa,Coral,primary producer,,Near Threatened,,non-endemic
Seriatopora hystrix,Anthozoa,Coral,primary producer,,Least Concern,,non-endemic
Stylophora pistillata,Anthozoa,Coral,primary producer,,Near Threatened,,endemic
Acanthaster planci,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,non-endemic
Astrostole scabra,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,non-endemic
Coscinasterias muricata,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,non-endemic
Uniophora granifera,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,endemic
Meridiastra calcar,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,endemic
Meridiastra gunnii,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,endemic
Pseudonepanthia troughtoni,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,endemic
Petricia vernicina,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,non-endemic
Echinaster arcystatus,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,endemic
Echinaster luzonicus,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,non-endemic
Plectaster decanus,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,endemic
Fromia indica,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,non-endemic
Fromia monilis,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,non-endemic
Fromia polypora,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,endemic
Pentagonaster dubeni,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,endemic
Tosia australis,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,endemic
Tosia magnifica,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,endemic
Linckia guildingi,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,non-endemic
Linckia laevigata,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,non-endemic
Linckia multifora,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,non-endemic
Nardoa variolata,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,non-endemic
Ophidiaster confertus,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,endemic
Nectria macrobrachia,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,endemic
Nectria ocellata,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,endemic
Nectria pedicelligera,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,endemic
Nectria saoria,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,endemic
Culcita novaeguineae,Asteroidea,Invertebrate,Benthic invertivore,Invertivore,,,non-endemic
Tridacna crocea,Bivalvia,Invertebrate,Planktivore,Invertivore,,,non-endemic
Tridacna derasa,Bivalvia,Invertebrate,Planktivore,Invertivore,Vulnerable,A2cd,non-endemic
Tridacna gigas,Bivalvia,Invertebrate,Planktivore,Invertivore,Vulnerable,A2cd,non-endemic
Tridacna maxima,Bivalvia,Invertebrate,Planktivore,Invertivore,,,non-endemic
