site_code,latitude,longitude
CS103,-17.43525,151.07027
GBR131,-20.0498,148.87843999999998
GBR131,-20.0498,148.87844
GBR132,-20.0429,148.88232
GBR143,-20.08833,148.90631000000002
GBR143,-20.08833,148.90631
GBR144,-20.07899,148.87646
GBR148,-20.040329999999997,148.88061000000002
GBR148,-20.04033,148.88061
GBR207,-16.73392,146.26511000000002
GBR207,-16.73392,146.26511
GBR231,-14.65101,145.44851
JMP-S12,-30.18137,114.99295
JMP-S13,-30.22683,114.99352
JMP-S24,-30.43518,115.0355
JMP-S25,-30.12073,114.95365
JMP-S37,-30.83113,115.19105
JMP-S8,-30.13403,114.94891
JMP-S9,-30.13403,114.94891
LHI18,-31.49747,159.06767
LHI26,-31.52032,159.05466
LHI27,-31.5207,159.05458000000002
LHI27,-31.5207,159.05458
LHI28,-31.512929999999997,159.0428
LHI28,-31.51293,159.0428
LHI33,-31.52736,159.05983
LHI40,-31.54252,159.06194
LHI41,-31.5332,159.05212
NMP-BF1,-21.83921,114.17564
NMP-BF2,-21.85245,114.16953999999998
NMP-BF2,-21.85245,114.16954
NMP-BF3,-21.86648,114.15926
NMP-BF4,-21.83633,114.17777
NMP-C1,-23.17701,113.75987
NMP-C4,-23.19995,113.76354
NMP-S1,-22.86905,113.76443
NMP1,-23.11234,113.75042
NMP13,-23.17989,113.76169
NMP19,-23.09197,113.73966
NMP20,-23.04473,113.81843
NMP21,-23.14221,113.76709
NMP26,-23.2175,113.75466000000002
NMP26,-23.2175,113.75466
NMP28,-23.098000000000003,113.79429
NMP8,-23.17642,113.76097
NMP9,-23.12627,113.76158
RI1,-32.01725,115.50014
RI6,-32.02575,115.52968
SI2,-29.923140000000004,153.38808999999998
SI2,-29.92314,153.38809
SI21,-30.007509999999996,153.27028
SI21,-30.00751,153.27028
SI24,-30.018759999999997,153.26976000000002
SI24,-30.01876,153.26976
SI29,-29.983209999999996,153.2278
SI29,-29.98321,153.2278
SI6,-30.01765,153.2692
SYD31,-33.840109999999996,151.27749
SYD31,-33.84011,151.27749
SYD35,-33.8388,151.27905
SYD42,-33.818020000000004,151.28518
SYD42,-33.81802,151.28518
SYD47,-33.806459999999994,151.30526
SYD47,-33.80646,151.30526
SYD48,-33.801,151.27573999999998
SYD48,-33.801,151.27574
SYD49,-33.80097,151.27415
SYD51,-33.799609999999994,151.29308
SYD51,-33.79961,151.29308
SYD52,-33.79927,151.29616
CS104,-17.4347,151.07127
CS187,-10.44136,144.45293
CS189,-10.44697,144.43347
CS193,-10.03875,144.69198
CS2,-19.28441,152.21197
CS209,-9.97456,144.694
GBR228,-14.65706,145.45076
GBR25,-19.81349,149.13617
GBR26,-19.79262,149.07111
GBR76,-19.80832,149.06582
JBMP-S23,-35.04068,150.83386000000002
JBMP-S26,-35.08773,150.79898
JMP-S1,-30.23187,114.99873
JMP-S10,-30.2645,114.975
JMP-S14,-30.15687,114.9955
JMP-S22,-30.58995,115.06482
JMP-S4,-30.433770000000003,114.99973
JMP-S5,-30.32908,114.98772
LHI24,-31.51721,159.0343
LHI3,-31.549740000000003,159.06295
LHI3,-31.54974,159.06295
LHI36,-31.53225,159.05403
LHI38,-31.52113,159.04688000000002
LHI38,-31.52113,159.04688
LHI47,-31.51793,159.06675
LHI49,-31.54666,159.06128
LHI5,-31.53908,159.06543
LHI50,-31.52979,159.05013
LHI7,-31.55193,159.06731000000002
LHI7,-31.55193,159.06731
NMP-C3,-23.14152,113.75364
NMP-P2,-23.31925,113.7807
NMP-S2,-22.92875,113.77937
NMP-S3,-23.12872,113.75232
NMP-S4,-23.33246,113.77923
NMP10,-23.21313,113.76296
NMP11,-23.20838,113.76328
NMP24,-23.20194,113.76248
NMP29,-23.16925,113.75708
NMP6,-23.16108,113.75875
PS9,-32.74881,152.1746
RI12,-32.03073,115.4411
RI2,-32.01552,115.55708
RI4,-31.98926,115.51746
RI7,-32.02472,115.50535
RI8,-32.02435,115.45157
RI9,-31.9902,115.5047
SYD38,-33.82827,151.26574
TS7,-10.28793,143.71759
TS8,-10.2875,143.70978
CS1,-19.29696,152.23516999999998
CS1,-19.29696,152.23517
CS102,-17.41703,151.07128
CS207,-9.96837,144.69456
CS35,-22.16866,155.45081000000002
CS35,-22.16866,155.45081
CS36,-22.1854,155.36165
CS47,-21.89659,153.5435
CS48,-21.89729,153.53757
CS50,-21.91736,153.57968
CS51,-21.91631,153.58669
JBMP-S16,-35.12113,150.76416
JBMP-S22,-35.0478,150.83995
JMP-S6,-30.29007,114.97248
LHI22,-31.56557,159.09975
PS13,-32.71802,152.14133
PS17,-32.714459999999995,152.15183000000002
PS17,-32.71446,152.15183
PS20,-32.709759999999996,152.15925
PS20,-32.70976,152.15925
PS30,-32.70883,152.22794
SI1,-29.93044,153.38984
SI12,-30.241559999999996,153.18265
SI12,-30.24156,153.18265
SI17,-30.2019,153.2676
SI19,-30.15932,153.2257
SI3,-30.204320000000003,153.26482
SI3,-30.20432,153.26482
SI7,-30.20228,153.26581000000002
SI7,-30.20228,153.26581
SI9,-30.24208,153.17998
SYD40,-33.8234,151.26768
SYD55,-33.968109999999996,151.25522
SYD55,-33.96811,151.25522
SYD56,-33.735240000000005,151.30736000000002
SYD56,-33.73524,151.30736
GSV1,-35.42445,138.31902
GSV11,-35.56754,138.63158
GSV115,-34.61942,138.31052
GSV116,-35.26681,138.43364
