species_name,biogeog,taxon,class,max_depth,max_length,lat_span_degrees,t_mean,chl_mean,endemism,IUCN,IUCN_category,date_assessed
Arthrocardia wardii,cool (temperate),Macroalgae,Red algae,21,12,8.52164,15.56683445,1.383537035,endemic,Not Evaluated,Not applicable,Not Evaluated
Ballia callitricha,cool (temperate),Macroalgae,Red algae,50,36,10.92821,14.93771011,1.17786044,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Callophyllis rangiferina,cool (temperate),Macroalgae,Red algae,24,25,13.52077,16.60752429,1.196033346,endemic,Not Evaluated,Not applicable,Not Evaluated
Camontagnea oxyclada,cool (temperate),Macroalgae,Red algae,5,20,10.92651,14.49363723,1.385850263,endemic,Not Evaluated,Not applicable,Not Evaluated
Carpomitra costata,cool (temperate),Macroalgae,Brown algae,38,35,8.04563,15.04775594,1.272313265,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Cheilosporum sagittatum,cool (temperate),Macroalgae,Red algae,5,10,9.38634,14.89068231,1.257825041,endemic,Not Evaluated,Not applicable,Not Evaluated
Codium lucasii,cool (temperate),Macroalgae,Green algae,5,15,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Colpomenia sinuosa,warm (temperate),Macroalgae,Brown algae,5,15,13.1731,18.35686352,1.19613818,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Craspedocarpus ramentaceus,cool (temperate),Macroalgae,Red algae,38,20,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Cystophora platylobium,cool (temperate),Macroalgae,Brown algae,132,400,10.61839,14.92201933,1.264443123,endemic,Not Evaluated,Not applicable,Not Evaluated
Cystophora xiphocarpa,cool (temperate),Macroalgae,Brown algae,100,30,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Delisea pulchra,cool (temperate),Macroalgae,Red algae,25,60,13.47772,16.64396293,1.163047884,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Dictyopteris muelleri,cool (temperate),Macroalgae,Brown algae,50,40,13.34605,17.07590424,1.079517925,endemic,Not Evaluated,Not applicable,Not Evaluated
Dictyota dichotoma,cool (temperate),Macroalgae,Brown algae,21,30,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Durvillaea potatorum,cool (temperate),Macroalgae,Brown algae,30,800,5.35914,14.51131933,1.428788276,endemic,Not Evaluated,Not applicable,Not Evaluated
Ecklonia radiata,cool (temperate),Macroalgae,Brown algae,44,200,13.66936,16.83632575,0.994669697,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Erythrymenia minuta,cool (temperate),Macroalgae,Red algae,20,14,13.37806,16.27237696,1.319178705,endemic,Not Evaluated,Not applicable,Not Evaluated
Euptilota articulata,cool (temperate),Macroalgae,Red algae,15,35,13.48773,16.11079089,1.161806952,endemic,Not Evaluated,Not applicable,Not Evaluated
Gigartina muelleriana,cool (temperate),Macroalgae,Red algae,2,15,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Haliptilon roseum,cool (temperate),Macroalgae,Red algae,10,12,13.52378,16.91199763,1.047406129,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Halopteris paniculata,cool (temperate),Macroalgae,Brown algae,13,30,11.26193,15.39920754,1.105541633,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Hemineura frondosa,cool (temperate),Macroalgae,Red algae,604,60,13.48773,15.19258089,1.241161604,endemic,Not Evaluated,Not applicable,Not Evaluated
Laurencia elata,cool (temperate),Macroalgae,Red algae,40,25,13.47772,16.41216205,1.16361743,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Lenormandia marginata,cool (temperate),Macroalgae,Red algae,25,25,13.46325,14.9196342,1.282372493,endemic,Not Evaluated,Not applicable,Not Evaluated
Lessonia corrugata,cool (temperate),Macroalgae,Brown algae,20,200,3.51499,14.23250985,1.586590637,endemic,Not Evaluated,Not applicable,Not Evaluated
Lobophora variegata,warm (temperate),Macroalgae,Brown algae,36,14,13.2046,17.64254813,1.11056186,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Mastophoropsis canaliculata,cool (temperate),Macroalgae,Red algae,18,15,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Melanthalia obtusata,cool (temperate),Macroalgae,Red algae,16,60,8.03422,15.0200403,1.294824245,endemic,Not Evaluated,Not applicable,Not Evaluated
Perithalia caudata,cool (temperate),Macroalgae,Brown algae,18,100,8.12983,14.95258734,1.262190944,endemic,Not Evaluated,Not applicable,Not Evaluated
Phacelocarpus peperocarpos,cool (temperate),Macroalgae,Red algae,30,50,13.48773,15.99757501,1.053838492,endemic,Not Evaluated,Not applicable,Not Evaluated
Phyllospora comosa,cool (temperate),Macroalgae,Brown algae,30,300,8.62831,15.5579159,1.329275211,endemic,Not Evaluated,Not applicable,Not Evaluated
Plocamium angustum,cool (temperate),Macroalgae,Red algae,50,25,12.88879,15.27813145,1.058201896,non-endemic,Not Evaluated,Not applicable,Not Evaluated
