"site_yr","site_code","survey_year","species_name","total_per50m2","minN","location","ecoregion","latitude","longitude","n_sites_byspp","n_obs_byspp","log_count","n_site_species"
"NMP-P2_2022","NMP-P2",2022,"Drupella cornus",11,1,"Ningaloo Reef","Ningaloo",-23,114,7,405,1.06069784035361,7
"NMP-P2_2022","NMP-P2",2022,"Echinometra mathaei",17,6,"Ningaloo Reef","Ningaloo",-23,114,7,1030,1.30102999566398,7
"NMP-P2_2022","NMP-P2",2022,"Turbo argyrostomus",1,1,"Ningaloo Reef","Ningaloo",-23,114,5,134,0.176091259055681,5
"NMP-P2_2022","NMP-P2",2022,"Nardoa variolata",2.66666666666667,1,"Ningaloo Reef","Ningaloo",-23,114,7,173,0.500602350569185,7
"NMP-P2_2022","NMP-P2",2022,"Tectus pyramis",1.66666666666667,1,"Ningaloo Reef","Ningaloo",-23,114,6,372,0.335792101923193,6
"NMP-P2_2022","NMP-P2",2022,"Linckia laevigata",1,1,"Ningaloo Reef","Ningaloo",-23,114,4,278,0.176091259055681,4
"NMP24_2022","NMP24",2022,"Cerithium echinatum",3,1,"Ningaloo Reef","Ningaloo",-23,114,4,85,0.544068044350276,4
"NMP24_2022","NMP24",2022,"Drupella cornus",6,2.5,"Ningaloo Reef","Ningaloo",-23,114,5,405,0.860338006570994,5
"NMP24_2022","NMP24",2022,"Echinometra mathaei",27,1,"Ningaloo Reef","Ningaloo",-23,114,6,1030,1.43933269383026,6
"NMP24_2022","NMP24",2022,"Phyllidiella pustulosa",2,1,"Ningaloo Reef","Ningaloo",-23,114,5,403,0.397940008672038,5
"NMP24_2022","NMP24",2022,"Nardoa variolata",2,2,"Ningaloo Reef","Ningaloo",-23,114,6,173,0.477121254719662,6
"NMP24_2022","NMP24",2022,"Linckia multifora",1,1,"Ningaloo Reef","Ningaloo",-23,114,4,223,0.176091259055681,4
"NMP10_2022","NMP10",2022,"Drupella cornus",7.5,2,"Ningaloo Reef","Ningaloo",-23,114,6,405,0.929418925714293,6
"NMP10_2022","NMP10",2022,"Echinometra mathaei",15.5,8.33333333333333,"Ningaloo Reef","Ningaloo",-23,114,7,1030,1.29373075692248,7
"NMP10_2022","NMP10",2022,"Nardoa variolata",4,1.66666666666667,"Ningaloo Reef","Ningaloo",-23,114,7,173,0.684246747515312,7
"NMP-C1_2022","NMP-C1",2022,"Echinometra mathaei",19.6666666666667,12.6666666666667,"Ningaloo Reef","Ningaloo",-23,114,7,1030,1.41497334797082,7
"NMP-C1_2022","NMP-C1",2022,"Holothuria atra",3,1,"Ningaloo Reef","Ningaloo",-23,114,6,336,0.544068044350276,6
"NMP-C1_2022","NMP-C1",2022,"Stichopus chloronotus",1.66666666666667,1,"Ningaloo Reef","Ningaloo",-23,114,7,175,0.335792101923193,7
"NMP-C1_2022","NMP-C1",2022,"Drupella cornus",1,1,"Ningaloo Reef","Ningaloo",-23,114,6,405,0.176091259055681,6
"NMP-C1_2022","NMP-C1",2022,"Phyllidiella pustulosa",2,1,"Ningaloo Reef","Ningaloo",-23,114,4,403,0.397940008672038,4
"NMP-C1_2022","NMP-C1",2022,"Cerithium echinatum",2,1,"Ningaloo Reef","Ningaloo",-23,114,4,85,0.397940008672038,4
"NMP-C1_2022","NMP-C1",2022,"Nardoa variolata",3.5,1,"Ningaloo Reef","Ningaloo",-23,114,6,173,0.602059991327962,6
"NMP-C1_2022","NMP-C1",2022,"Tectus pyramis",1,1,"Ningaloo Reef","Ningaloo",-23,114,4,372,0.176091259055681,4
"NMP-C3_2022","NMP-C3",2022,"Drupella cornus",9.5,4.33333333333333,"Ningaloo Reef","Ningaloo",-23,114,7,405,1.06694678963061,7
"NMP-C3_2022","NMP-C3",2022,"Echinometra mathaei",2,1.33333333333333,"Ningaloo Reef","Ningaloo",-23,114,7,1030,0.425968732272281,7
"NMP-C3_2022","NMP-C3",2022,"Nardoa variolata",1,1,"Ningaloo Reef","Ningaloo",-23,114,4,173,0.176091259055681,4
"NMP-C3_2022","NMP-C3",2022,"Turbo argyrostomus",1,1,"Ningaloo Reef","Ningaloo",-23,114,5,134,0.176091259055681,5
"NMP-S3_2022","NMP-S3",2022,"Drupella cornus",5,3.5,"Ningaloo Reef","Ningaloo",-23,114,8,405,0.829303772831025,8
"NMP-S3_2022","NMP-S3",2022,"Turbo argyrostomus",1,1,"Ningaloo Reef","Ningaloo",-23,114,4,134,0.176091259055681,4
"NMP-S3_2022","NMP-S3",2022,"Echinometra mathaei",11.5,1,"Ningaloo Reef","Ningaloo",-23,114,8,1030,1.07918124604762,8
"NMP-S3_2022","NMP-S3",2022,"Nardoa variolata",2,1,"Ningaloo Reef","Ningaloo",-23,114,6,173,0.397940008672038,6
"NMP1_2022","NMP1",2022,"Drupella cornus",7,2,"Ningaloo Reef","Ningaloo",-23,114,7,405,0.903089986991944,7
"NMP1_2022","NMP1",2022,"Echinometra mathaei",68.3333333333333,21,"Ningaloo Reef","Ningaloo",-23,114,8,1030,1.89670989035417,8
"NMP1_2022","NMP1",2022,"Holothuria atra",1.5,1,"Ningaloo Reef","Ningaloo",-23,114,7,336,0.301029995663981,7
"NMP1_2022","NMP1",2022,"Linckia multifora",1.33333333333333,1.33333333333333,"Ningaloo Reef","Ningaloo",-23,114,4,223,0.301029995663981,4
"NMP1_2022","NMP1",2022,"Nardoa variolata",3,1,"Ningaloo Reef","Ningaloo",-23,114,8,173,0.544068044350276,8
"NMP1_2022","NMP1",2022,"Turbo argyrostomus",1,1,"Ningaloo Reef","Ningaloo",-23,114,6,134,0.176091259055681,6
"NMP1_2022","NMP1",2022,"Fromia indica",3,1,"Ningaloo Reef","Ningaloo",-23,114,4,360,0.544068044350276,4
"NMP1_2022","NMP1",2022,"Stichopus chloronotus",2,1,"Ningaloo Reef","Ningaloo",-23,114,8,175,0.397940008672038,8
"NMP-C4_2022","NMP-C4",2022,"Actinopyga echinites",2,1,"Ningaloo Reef","Ningaloo",-23,114,5,39,0.397940008672038,5
"NMP-C4_2022","NMP-C4",2022,"Echinaster luzonicus",1,1,"Ningaloo Reef","Ningaloo",-23,114,5,129,0.176091259055681,5
"NMP-C4_2022","NMP-C4",2022,"Echinometra mathaei",66.3333333333333,32,"Ningaloo Reef","Ningaloo",-23,114,7,1030,1.91557569854,7
"NMP-C4_2022","NMP-C4",2022,"Linckia laevigata",2,1,"Ningaloo Reef","Ningaloo",-23,114,6,278,0.397940008672038,6
"NMP-C4_2022","NMP-C4",2022,"Linckia multifora",1,1,"Ningaloo Reef","Ningaloo",-23,114,6,223,0.176091259055681,6
"NMP-C4_2022","NMP-C4",2022,"Nardoa variolata",17.3333333333333,16.6666666666667,"Ningaloo Reef","Ningaloo",-23,114,7,173,1.40936947045282,7
"NMP-C4_2022","NMP-C4",2022,"Stichopus chloronotus",5,1.33333333333333,"Ningaloo Reef","Ningaloo",-23,114,7,175,0.753327666658612,7
"NMP-C4_2022","NMP-C4",2022,"Tripneustes gratilla",1,1,"Ningaloo Reef","Ningaloo",-23,114,5,311,0.176091259055681,5
"NMP-C4_2022","NMP-C4",2022,"Drupella cornus",7,2,"Ningaloo Reef","Ningaloo",-23,114,6,405,0.903089986991944,6
"NMP-C4_2022","NMP-C4",2022,"Holothuria atra",2,1,"Ningaloo Reef","Ningaloo",-23,114,6,336,0.397940008672038,6
"NMP-C4_2022","NMP-C4",2022,"Turbo argyrostomus",3,3,"Ningaloo Reef","Ningaloo",-23,114,5,134,0.653212513775344,5
"NMP-C4_2022","NMP-C4",2022,"Fromia indica",1,1,"Ningaloo Reef","Ningaloo",-23,114,6,360,0.176091259055681,6
"NMP-C4_2022","NMP-C4",2022,"Tridacna crocea",1,1,"Ningaloo Reef","Ningaloo",-23,114,4,614,0.176091259055681,4
"NMP29_2022","NMP29",2022,"Drupella cornus",3,1,"Ningaloo Reef","Ningaloo",-23,114,6,405,0.544068044350276,6
"NMP29_2022","NMP29",2022,"Echinometra mathaei",13,6.66666666666667,"Ningaloo Reef","Ningaloo",-23,114,6,1030,1.21307482530885,6
"NMP29_2022","NMP29",2022,"Nardoa variolata",2,1,"Ningaloo Reef","Ningaloo",-23,114,5,173,0.397940008672038,5
"NMP11_2022","NMP11",2022,"Drupella cornus",23,3,"Ningaloo Reef","Ningaloo",-23,114,8,405,1.38916608436453,8
"NMP11_2022","NMP11",2022,"Echinometra mathaei",1.5,1,"Ningaloo Reef","Ningaloo",-23,114,7,1030,0.301029995663981,7
"NMP11_2022","NMP11",2022,"Nardoa variolata",1,1,"Ningaloo Reef","Ningaloo",-23,114,8,173,0.176091259055681,8
"NMP-S2_2022","NMP-S2",2022,"Drupella cornus",2.66666666666667,2.66666666666667,"Ningaloo Reef","Ningaloo",-23,114,7,405,0.602059991327962,7
"NMP-S2_2022","NMP-S2",2022,"Stichopus chloronotus",4,3,"Ningaloo Reef","Ningaloo",-23,114,8,175,0.740362689494244,8
"NMP-S2_2022","NMP-S2",2022,"Nardoa variolata",1,1,"Ningaloo Reef","Ningaloo",-23,114,8,173,0.176091259055681,8
"NMP-S2_2022","NMP-S2",2022,"Holothuria atra",3,1,"Ningaloo Reef","Ningaloo",-23,114,8,336,0.544068044350276,8
"NMP-S2_2022","NMP-S2",2022,"Echinometra mathaei",2,1,"Ningaloo Reef","Ningaloo",-23,114,8,1030,0.397940008672038,8
"NMP9_2022","NMP9",2022,"Drupella cornus",4,1,"Ningaloo Reef","Ningaloo",-23,114,5,405,0.653212513775344,5
"NMP2_2022","NMP2",2022,"Drupella cornus",5,1,"Ningaloo Reef","Ningaloo",-23,114,6,405,0.740362689494244,6
"NMP2_2022","NMP2",2022,"Echinometra mathaei",11,6.5,"Ningaloo Reef","Ningaloo",-23,114,8,1030,1.15381486434453,8
"NMP2_2022","NMP2",2022,"Fromia indica",1,1,"Ningaloo Reef","Ningaloo",-23,114,5,360,0.176091259055681,5
"NMP2_2022","NMP2",2022,"Nardoa variolata",1,1,"Ningaloo Reef","Ningaloo",-23,114,8,173,0.176091259055681,8
"NMP-S4_2022","NMP-S4",2022,"Drupella cornus",19.6666666666667,12.3333333333333,"Ningaloo Reef","Ningaloo",-23,114,7,405,1.41218044778665,7
"NMP-S4_2022","NMP-S4",2022,"Echinometra mathaei",2,1,"Ningaloo Reef","Ningaloo",-23,114,7,1030,0.397940008672038,7
"NMP-S4_2022","NMP-S4",2022,"Nardoa variolata",3.5,1,"Ningaloo Reef","Ningaloo",-23,114,6,173,0.602059991327962,6
"NMP-S4_2022","NMP-S4",2022,"Holothuria atra",1,1,"Ningaloo Reef","Ningaloo",-23,114,6,336,0.176091259055681,6
"NMP-S4_2022","NMP-S4",2022,"Tectus pyramis",1,1,"Ningaloo Reef","Ningaloo",-23,114,7,372,0.176091259055681,7
"NMP20_2022","NMP20",2022,"Drupella cornus",41,1.5,"Ningaloo Reef","Ningaloo",-23,114,7,405,1.62065647981962,7
"NMP20_2022","NMP20",2022,"Fromia indica",1,1,"Ningaloo Reef","Ningaloo",-23,114,6,360,0.176091259055681,6
"NMP20_2022","NMP20",2022,"Holothuria atra",1,1,"Ningaloo Reef","Ningaloo",-23,114,5,336,0.176091259055681,5
"NMP20_2022","NMP20",2022,"Linckia multifora",1,1,"Ningaloo Reef","Ningaloo",-23,114,6,223,0.176091259055681,6
"NMP20_2022","NMP20",2022,"Nardoa variolata",1,1,"Ningaloo Reef","Ningaloo",-23,114,6,173,0.176091259055681,6
"NMP-BF1_2022","NMP-BF1",2022,"Fromia indica",1,1,"Exmouth","Exmouth to Broome",-22,114,6,360,0.176091259055681,6
"NMP28_2022","NMP28",2022,"Holothuria atra",4,1.33333333333333,"Ningaloo Reef","Ningaloo",-23,114,5,336,0.669006780958576,5
"NMP28_2022","NMP28",2022,"Drupella cornus",10,1,"Ningaloo Reef","Ningaloo",-23,114,4,405,1.02118929906994,4
"NMP-BF4_2022","NMP-BF4",2022,"Tectus pyramis",1,1,"Exmouth","Exmouth to Broome",-22,114,6,372,0.176091259055681,6
"NMP-BF4_2022","NMP-BF4",2022,"Echinaster luzonicus",2,1,"Exmouth","Exmouth to Broome",-22,114,4,129,0.397940008672038,4
"NMP-BF4_2022","NMP-BF4",2022,"Thuridilla moebii",1,1,"Exmouth","Exmouth to Broome",-22,114,4,25,0.176091259055681,4
"NMP-BF4_2022","NMP-BF4",2022,"Fromia indica",2,1,"Exmouth","Exmouth to Broome",-22,114,4,360,0.397940008672038,4
"NMP13_2022","NMP13",2022,"Drupella cornus",40.5,2,"Ningaloo Reef","Ningaloo",-23,114,6,405,1.61804809671209,6
"NMP13_2022","NMP13",2022,"Echinometra mathaei",9,1,"Ningaloo Reef","Ningaloo",-23,114,6,1030,0.977723605288848,6
"NMP13_2022","NMP13",2022,"Nardoa variolata",6,1,"Ningaloo Reef","Ningaloo",-23,114,7,173,0.812913356642856,7
"NMP13_2022","NMP13",2022,"Stichopus chloronotus",16,1,"Ningaloo Reef","Ningaloo",-23,114,6,175,1.21748394421391,6
"NMP13_2022","NMP13",2022,"Holothuria atra",1,1,"Ningaloo Reef","Ningaloo",-23,114,4,336,0.176091259055681,4
"NMP27_2022","NMP27",2022,"Echinometra mathaei",282.5,221,"Ningaloo Reef","Ningaloo",-23,114,6,1030,2.59439255037543,6
"NMP27_2022","NMP27",2022,"Nardoa variolata",6.5,1,"Ningaloo Reef","Ningaloo",-23,114,6,173,0.845098040014257,6
"NMP27_2022","NMP27",2022,"Turbo argyrostomus",10,1,"Ningaloo Reef","Ningaloo",-23,114,6,134,1.02118929906994,6
"NMP27_2022","NMP27",2022,"Phyllidiella pustulosa",1,1,"Ningaloo Reef","Ningaloo",-23,114,5,403,0.176091259055681,5
"NMP27_2022","NMP27",2022,"Actinopyga echinites",1,1,"Ningaloo Reef","Ningaloo",-23,114,5,39,0.176091259055681,5
"NMP27_2022","NMP27",2022,"Fromia indica",1,1,"Ningaloo Reef","Ningaloo",-23,114,4,360,0.176091259055681,4
"NMP-S1_2022","NMP-S1",2022,"Echinometra mathaei",48.3333333333333,8,"Ningaloo Reef","Ningaloo",-23,114,8,1030,1.71877839768957,8
