biogeog,taxon,species_name,class,max_depth,max_length,lat_span_degrees,t_mean,chl_mean
tropical,Vertebrate,Acanthochromis polyacanthus,Actinopterygii,65,14,17.60142,26.36531872,0.466304804
tropical,Vertebrate,Acanthurus blochii,Actinopterygii,12,45,21.70967,26.37864071,0.37007972
tropical,Vertebrate,Acanthurus dussumieri,Actinopterygii,131,54,25.02933,25.00528296,0.554617763
tropical,Vertebrate,Acanthurus nigrofuscus,Actinopterygii,25,21,27.23678,25.71397187,0.523580637
tropical,Vertebrate,Amblyglyphidodon curacao,Actinopterygii,40,11,20.07602,26.38737076,0.417613898
tropical,Vertebrate,Amblyglyphidodon leucogaster,Actinopterygii,45,13,14.00625,26.56835772,0.405891482
tropical,Vertebrate,Bolbometopon muricatum,Actinopterygii,30,130,13.28833,26.825744,0.364346773
tropical,Vertebrate,Cetoscarus ocellatus,Actinopterygii,30,90,14.03533,26.69043659,0.376369343
tropical,Vertebrate,Chaetodon aureofasciatus,Actinopterygii,15,12.5,19.05894,26.00169738,0.730068745
tropical,Vertebrate,Chaetodon auriga,Actinopterygii,35,23,25.15824,25.74003564,0.580855782
tropical,Vertebrate,Chaetodon baronessa,Actinopterygii,20,16,20.05489,26.40665147,0.465498742
tropical,Vertebrate,Chaetodon flavirostris,Actinopterygii,20,20,25.06341,24.48881087,0.484250539
tropical,Vertebrate,Chaetodon lineolatus,Actinopterygii,171,30,21.67249,25.94883391,0.545132215
tropical,Vertebrate,Chaetodon lunula,Actinopterygii,30,20,22.08974,26.71396494,0.567211464
tropical,Vertebrate,Chaetodon lunulatus,Actinopterygii,20,14,22.80098,26.3020555,0.546170639
tropical,Vertebrate,Chaetodon plebeius,Actinopterygii,10,15,22.23115,25.67086351,0.516776236
tropical,Vertebrate,Chaetodon rainfordi,Actinopterygii,15,15,21.52365,25.81533949,0.516057424
tropical,Vertebrate,Chaetodon ulietensis,Actinopterygii,30,15,21.58778,26.82682302,0.433155753
tropical,Vertebrate,Chaetodon vagabundus,Actinopterygii,30,23,23.95522,26.36059839,0.558135442
tropical,Vertebrate,Cheilinus fasciatus,Actinopterygii,60,40,20.08071,26.52439195,0.446363013
tropical,Vertebrate,Cheilinus undulatus,Actinopterygii,100,229,13.57826,26.67461257,0.381159176
tropical,Vertebrate,Chelmon rostratus,Actinopterygii,25,20,16.99879,25.89491002,0.65910794
tropical,Vertebrate,Chlorurus microrhinos,Actinopterygii,35,70,22.1485,26.17119839,0.453528899
tropical,Vertebrate,Chlorurus sordidus,Actinopterygii,50,40,25.19136,25.97878916,0.517040028
tropical,Vertebrate,Choerodon fasciatus,Actinopterygii,35,30,14.02204,26.15512019,0.493642755
tropical,Vertebrate,Chromis atripectoralis,Actinopterygii,29,12,21.69419,26.02855607,0.51943244
tropical,Vertebrate,Chromis lepidolepis,Actinopterygii,43,9,25.23455,26.81562086,0.399253462
tropical,Vertebrate,Chromis nitida,Actinopterygii,25,7,25.27933,24.40733636,0.747828251
tropical,Vertebrate,Chromis ternatensis,Actinopterygii,36,10,14.02054,26.68705707,0.365482583
