site_name,year,sst
19131S-1,2008,25.49920765
19131S-1,2009,25.98753425
19131S-1,2010,26.25043836
19131S-1,2011,25.32468493
19131S-1,2012,25.51278689
19131S-1,2013,25.88668493
19131S-1,2014,25.61671233
19131S-1,2015,25.93054795
19131S-1,2016,26.46185792
19131S-1,2017,26.09515068
19131S-1,2018,25.71947945
19131S-1,2019,25.50103825
19131S-1,2020,25.98491935
19131S-1,2021,26.11021918
19131S-2,2008,25.49920765
19131S-2,2009,25.98753425
19131S-2,2010,26.25043836
19131S-2,2011,25.32468493
19131S-2,2012,25.51278689
19131S-2,2013,25.88668493
19131S-2,2014,25.61671233
19131S-2,2015,25.93054795
19131S-2,2016,26.46185792
19131S-2,2017,26.09515068
19131S-2,2018,25.71947945
19131S-2,2019,25.50103825
19131S-2,2020,25.98491935
19131S-2,2021,26.11021918
19131S-3,2008,25.49920765
19131S-3,2009,25.98753425
19131S-3,2010,26.25043836
19131S-3,2011,25.32468493
19131S-3,2012,25.51278689
19131S-3,2013,25.88668493
19131S-3,2014,25.61671233
19131S-3,2015,25.93054795
19131S-3,2016,26.46185792
19131S-3,2017,26.09515068
19131S-3,2018,25.71947945
19131S-3,2019,25.50103825
19131S-3,2020,25.98491935
19131S-3,2021,26.11021918
19138S-1,2008,25.48081967
19138S-1,2009,25.97452055
19138S-1,2010,26.23273973
19138S-1,2011,25.31315068
19138S-1,2012,25.49737705
19138S-1,2013,25.87526027
19138S-1,2014,25.60032877
19138S-1,2015,25.91427397
19138S-1,2016,26.44642077
19138S-1,2017,26.083452050000002
19138S-1,2018,25.70673973
19138S-1,2019,25.48016393
19138S-1,2020,25.96768817
19138S-1,2021,26.09369863
19138S-2,2008,25.48081967
19138S-2,2009,25.97452055
19138S-2,2010,26.23273973
19138S-2,2011,25.31315068
19138S-2,2012,25.49737705
19138S-2,2013,25.87526027
19138S-2,2014,25.60032877
19138S-2,2015,25.91427397
19138S-2,2016,26.44642077
19138S-2,2017,26.083452050000002
19138S-2,2018,25.70673973
19138S-2,2019,25.48016393
19138S-2,2020,25.96768817
19138S-2,2021,26.09369863
19138S-3,2008,25.48081967
19138S-3,2009,25.97452055
19138S-3,2010,26.23273973
19138S-3,2011,25.31315068
19138S-3,2012,25.49737705
19138S-3,2013,25.87526027
19138S-3,2014,25.60032877
19138S-3,2015,25.91427397
19138S-3,2016,26.44642077
19138S-3,2017,26.083452050000002
19138S-3,2018,25.70673973
19138S-3,2019,25.48016393
19138S-3,2020,25.96768817
19138S-3,2021,26.09369863
20104S-1,2008,25.4029235
20104S-1,2009,25.89720548
20104S-1,2010,26.1610411
20104S-1,2011,25.2080274
20104S-1,2012,25.39297814
20104S-1,2013,25.80419178
20104S-1,2014,25.50534247
20104S-1,2015,25.84805479
20104S-1,2016,26.35814208
20104S-1,2017,26.00709589
20104S-1,2018,25.63950685
20104S-1,2019,25.42174863
20104S-1,2020,25.89758065
20104S-1,2021,25.99126027
20104S-2,2008,25.4029235
20104S-2,2009,25.89720548
20104S-2,2010,26.1610411
20104S-2,2011,25.2080274
20104S-2,2012,25.39297814
20104S-2,2013,25.80419178
20104S-2,2014,25.50534247
20104S-2,2015,25.84805479
20104S-2,2016,26.35814208
20104S-2,2017,26.00709589
20104S-2,2018,25.63950685
20104S-2,2019,25.42174863
20104S-2,2020,25.89758065
20104S-2,2021,25.99126027
20104S-3,2008,25.4029235
20104S-3,2009,25.89720548
20104S-3,2010,26.1610411
20104S-3,2011,25.2080274
20104S-3,2012,25.39297814
20104S-3,2013,25.80419178
20104S-3,2014,25.50534247
20104S-3,2015,25.84805479
20104S-3,2016,26.35814208
20104S-3,2017,26.00709589
20104S-3,2018,25.63950685
20104S-3,2019,25.42174863
20104S-3,2020,25.89758065
20104S-3,2021,25.99126027
20348S-1,2008,25.31398907
20348S-1,2009,25.76158904
20348S-1,2010,26.12950685
20348S-1,2011,25.1990411
20348S-1,2012,25.35338798
20348S-1,2013,25.61235616
20348S-1,2014,25.43273973
20348S-1,2015,25.70460274
20348S-1,2016,26.12778689
20348S-1,2017,25.90054795
20348S-1,2018,25.48917808
20348S-1,2019,25.30043716
20348S-1,2020,25.7980914
20348S-1,2021,25.83112329
20348S-2,2008,25.31398907
20348S-2,2009,25.76158904
20348S-2,2010,26.12950685
20348S-2,2011,25.1990411
20348S-2,2012,25.37346269
20348S-2,2013,25.61235616
20348S-2,2014,25.43273973
20348S-2,2015,25.70460274
20348S-2,2016,26.12778689
20348S-2,2017,25.90054795
20348S-2,2018,25.48917808
20348S-2,2019,25.30043716
20348S-2,2020,25.7980914
20348S-2,2021,25.83112329
20348S-3,2008,25.31398907
20348S-3,2009,25.76158904
20348S-3,2010,26.12950685
20348S-3,2011,25.1990411
20348S-3,2012,25.35338798
20348S-3,2013,25.61235616
20348S-3,2014,25.43273973
20348S-3,2015,25.70460274
20348S-3,2016,26.12778689
20348S-3,2017,25.90054795
20348S-3,2018,25.48917808
20348S-3,2019,25.30043716
20348S-3,2020,25.7980914
20348S-3,2021,25.83112329
20353S-1,2008,25.29163934
20353S-1,2009,25.752
20353S-1,2010,26.09517808
20353S-1,2011,25.17342466
20353S-1,2012,25.33153005
20353S-1,2013,25.60246575
20353S-1,2014,25.41090411
20353S-1,2015,25.70309589
20353S-1,2016,26.12887978
20353S-1,2017,25.90054795
20353S-1,2018,25.48816438
20353S-1,2019,25.29489071
20353S-1,2020,25.79548387
20353S-1,2021,25.83786301
20353S-2,2008,25.29163934
20353S-2,2009,25.752
20353S-2,2010,26.09517808
20353S-2,2011,25.17342466
20353S-2,2012,25.33153005
20353S-2,2013,25.60246575
20353S-2,2014,25.41090411
20353S-2,2015,25.70309589
20353S-2,2016,26.12887978
20353S-2,2017,25.90054795
20353S-2,2018,25.48816438
20353S-2,2019,25.29489071
20353S-2,2020,25.79548387
20353S-2,2021,25.83786301
20353S-3,2008,25.29163934
20353S-3,2009,25.752
20353S-3,2010,26.09517808
20353S-3,2011,25.17342466
20353S-3,2012,25.33153005
20353S-3,2013,25.60246575
20353S-3,2014,25.41090411
20353S-3,2015,25.70309589
20353S-3,2016,26.12887978
20353S-3,2017,25.90054795
